,logFC,AveExpr,t,P.Value,adj.P.Val,B,symbol
AFFX-r2-Bs-dap-M_at,-3.980536147,6.978444496,-6.730521111,1.49E-07,1.24E-05,7.428142746,NA
AFFX-r2-Bs-dap-3_at,-3.784129438,7.845842179,-6.835680117,1.11E-07,1.01E-05,7.713827494,NA
AFFX-DapX-M_at,-3.578225029,7.249155957,-6.662150984,1.81E-07,1.40E-05,7.241844163,NA
AFFX-DapX-3_at,-3.492667409,7.702449711,-6.955168562,7.97E-08,7.99E-06,8.037120076,NA
AFFX-r2-Bs-dap-5_at,-3.291520757,6.183198063,-6.050648033,1.02E-06,4.78E-05,5.558861657,NA
AFFX-r2-Bs-thr-3_s_at,-2.98395774,6.756900839,-7.084561425,5.56E-08,6.16E-06,8.385546771,NA
AFFX-DapX-5_at,-2.783589217,5.95425364,-6.003262779,1.17E-06,5.27E-05,5.427415564,NA
228697_at,-2.712239428,6.965525031,-13.34338078,1.86E-14,8.50E-10,22.55753302,HINT3
201123_s_at,-2.656915693,7.915013295,-5.859269136,1.77E-06,7.13E-05,5.027316998,EIF5A
AFFX-r2-Bs-phe-M_at,-2.564446231,5.039367831,-6.5732329,2.32E-07,1.65E-05,6.998926816,NA
AFFX-ThrX-3_at,-2.492592142,6.258123771,-7.212964147,3.90E-08,4.78E-06,8.729517561,NA
AFFX-r2-Bs-phe-5_at,-2.296933154,4.98893929,-6.457283078,3.22E-07,2.10E-05,6.681147954,NA
AFFX-ThrX-M_at,-2.276045507,5.186377099,-6.365263757,4.18E-07,2.55E-05,6.428189219,NA
AFFX-r2-Bs-thr-M_s_at,-2.147289016,6.415987928,-6.353695202,4.32E-07,2.60E-05,6.396342113,NA
AFFX-r2-Bs-lys-3_at,-2.11772614,5.076125178,-7.064688351,5.88E-08,6.41E-06,8.332148626,NA
AFFX-r2-Bs-phe-3_at,-2.113155286,6.474186706,-7.271127915,3.32E-08,4.26E-06,8.884722277,NA
AFFX-LysX-3_at,-2.071378871,5.779743082,-6.984431524,7.35E-08,7.53E-06,8.116073097,NA
215838_at,-2.008646052,6.615408859,-8.742386031,6.61E-10,3.12E-07,12.66886413,LILRA5
226319_s_at,-1.981387065,7.195591216,-8.427030027,1.50E-09,5.57E-07,11.88214455,ALYREF
AFFX-r2-Bs-lys-5_at,-1.981016052,4.109567124,-6.301351568,5.01E-07,2.89E-05,6.252123418,NA
AFFX-PheX-M_at,-1.924179366,5.294275984,-7.023113839,6.60E-08,6.94E-06,8.220302697,NA
AFFX-r2-Bs-lys-M_at,-1.880681215,4.651324444,-6.261827793,5.61E-07,3.12E-05,6.143098003,NA
1555643_s_at,-1.831962393,6.784845868,-8.359512059,1.79E-09,6.26E-07,11.71190924,LILRA5
AFFX-PheX-5_at,-1.703392416,4.781522083,-6.039462494,1.06E-06,4.89E-05,5.527843738,NA
205321_at,-1.645735788,8.469388135,-7.97633766,4.92E-09,1.32E-06,10.7340498,EIF2S3
AFFX-r2-Bs-thr-5_s_at,-1.616430248,5.450415111,-4.763655921,4.14E-05,0.000759292,1.976286265,NA
211307_s_at,-1.60035585,5.114761422,-8.009793456,4.50E-09,1.24E-06,10.82021309,FCAR
209722_s_at,-1.589004798,4.993602245,-11.25712701,1.56E-12,1.32E-08,18.43446892,SERPINB9
203311_s_at,-1.583711763,8.025965815,-9.253508886,1.81E-10,1.52E-07,13.91407653,ARF6
238010_at,-1.582604048,6.02906277,-7.732446046,9.46E-09,2.01E-06,10.10150958,C1orf174
202581_at,-1.54848173,6.048885386,-9.843388441,4.23E-11,5.46E-08,15.30453863,NA
1555317_at,-1.537998658,4.953154799,-8.020577114,4.37E-09,1.21E-06,10.84795417,POLK
AFFX-LysX-M_at,-1.501392397,4.54005375,-6.320563432,4.75E-07,2.79E-05,6.305079386,NA
208050_s_at,-1.489763243,5.998458364,-8.197614156,2.73E-09,8.69E-07,11.30116488,CASP2
200604_s_at,-1.479331635,8.5411128,-8.599332317,9.57E-10,4.02E-07,12.31371173,PRKAR1A
211672_s_at,-1.472810323,8.721378991,-9.242352979,1.86E-10,1.52E-07,13.88729713,NA
226537_at,-1.467287295,5.162505462,-11.16249972,1.93E-12,1.32E-08,18.23374571,HINT3
215891_s_at,-1.457776207,6.028444309,-6.787001489,1.27E-07,1.11E-05,7.58171452,GM2A
218340_s_at,-1.417044351,6.165837431,-5.205950163,1.16E-05,0.000290147,3.205604355,UBA6
209811_at,-1.405498037,5.761990173,-7.469715923,1.93E-08,3.01E-06,9.411679116,CASP2
229045_at,-1.400153717,6.177201052,-7.924554341,5.65E-09,1.47E-06,10.6003945,SNX20
AFFX-HSAC07/X00351_5_at,-1.35261977,13.01239611,-8.435061917,1.47E-09,5.53E-07,11.90235374,ACTB
1560349_at,-1.348035992,5.323227046,-6.839146896,1.10E-07,1.00E-05,7.723227454,NA
205655_at,-1.330617474,4.886873338,-8.424609479,1.51E-09,5.57E-07,11.87605241,MDM4
1553681_a_at,-1.327080496,9.894002225,-5.428884591,6.10E-06,0.000178345,3.827582537,PRF1
1555214_a_at,-1.319788135,7.706448863,-8.879274475,4.66E-10,2.63E-07,13.00600569,CLEC7A
208703_s_at,-1.308104915,9.154338598,-8.588836797,9.83E-10,4.08E-07,12.28754189,APLP2
200769_s_at,-1.30796556,6.88953229,-9.017429305,3.28E-10,2.16E-07,13.34356652,MAT2A
AFFX-LysX-5_at,-1.289025998,3.849244376,-5.749948045,2.42E-06,8.91E-05,4.723000542,NA
203923_s_at,-1.275691589,10.43459998,-8.922744774,4.17E-10,2.46E-07,13.11251207,CYBB
232725_s_at,-1.274824391,5.826317959,-6.700385421,1.62E-07,1.31E-05,7.346080378,MS4A6A
201551_s_at,-1.270762193,7.739645967,-7.088987713,5.50E-08,6.12E-06,8.397434219,LAMP1
226533_at,-1.254680338,4.789368442,-7.493369947,1.81E-08,2.88E-06,9.474133277,HINT3
210148_at,-1.25020607,6.701534976,-9.142755069,2.39E-10,1.78E-07,13.64742355,HIPK3
1555639_a_at,-1.249806855,5.277986632,-5.952233625,1.36E-06,5.87E-05,5.285734882,RBM14
232535_at,-1.246154787,6.460311885,-5.091501132,1.61E-05,0.000370721,2.88666085,RSBN1L
222922_at,-1.238977809,6.752760713,-6.343926577,4.44E-07,2.65E-05,6.369442365,KCNE3
220900_at,-1.232150499,3.705664428,-5.744232942,2.46E-06,8.98E-05,4.707080465,NA
1554451_s_at,-1.231101235,6.067219183,-9.082306758,2.78E-10,1.95E-07,13.50114499,DNAJC14
213470_s_at,-1.221528635,6.365285777,-4.818649698,3.54E-05,0.000673526,2.128536141,HNRNPH1
AFFX-PheX-3_at,-1.221104845,6.257388884,-6.448522497,3.30E-07,2.13E-05,6.657093667,NA
202223_at,-1.216256112,6.782024767,-11.12148754,2.12E-12,1.32E-08,18.14636617,STT3A
205170_at,-1.212498524,6.07314271,-11.11634222,2.14E-12,1.32E-08,18.1353872,STAT2
244030_at,-1.211360121,5.884056754,-7.59718012,1.36E-08,2.48E-06,9.74741944,STYX
AFFX-ThrX-5_at,-1.208266929,5.146340419,-4.594007241,6.73E-05,0.001095189,1.508209974,NA
207764_s_at,-1.204092499,5.503724016,-7.787654357,8.15E-09,1.82E-06,10.24536602,HIPK3
232312_at,-1.203332497,6.951502322,-5.838716593,1.88E-06,7.45E-05,4.97013784,PPP6R3
235016_at,-1.197908103,4.704729668,-7.461980362,1.97E-08,3.04E-06,9.391240129,REEP3
238546_at,-1.193411322,5.562219129,-7.375674574,2.50E-08,3.53E-06,9.162717053,SLC8A1
231955_s_at,-1.185960084,4.661027252,-7.818012723,7.52E-09,1.76E-06,10.32430471,HIBADH
200730_s_at,-1.185087496,6.426384551,-5.388219395,6.86E-06,0.000194883,3.714097997,PTP4A1
201211_s_at,-1.183312179,7.534982935,-8.792170742,5.82E-10,2.89E-07,12.79178561,DDX3X
233011_at,-1.179619883,6.00083416,-4.155517567,0.000233409,0.002839701,0.313975361,ANXA1
222923_s_at,-1.178928211,6.738259218,-8.362179635,1.77E-09,6.26E-07,11.718647,KCNE3
204627_s_at,-1.170887253,7.959495623,-4.016894583,0.000344181,0.003834167,-0.057254761,ITGB3
244579_at,-1.169265004,7.491802015,-7.655758154,1.16E-08,2.24E-06,9.901042603,NA
219549_s_at,-1.162036682,8.964054836,-7.822073928,7.43E-09,1.74E-06,10.33485578,RTN3
217960_s_at,-1.156967676,7.40468801,-9.600174942,7.66E-11,8.37E-08,14.73731135,TOMM22
242445_at,-1.154075216,4.596928133,-9.553796281,8.58E-11,9.20E-08,14.62817821,FGD4
202203_s_at,-1.15158226,4.910031442,-3.255572233,0.002719455,0.019003859,-2.013037133,AMFR
210969_at,-1.151190683,4.320934846,-10.71901288,5.31E-12,1.61E-08,17.27642457,PKN2
241752_at,-1.141422592,5.473100758,-7.798134236,7.93E-09,1.81E-06,10.27262948,SLC8A1
215708_s_at,-1.138670284,5.743273812,-7.706888649,1.01E-08,2.11E-06,10.03478337,PRIM2
211300_s_at,-1.129008072,6.174954797,-9.218530945,1.97E-10,1.53E-07,13.83005323,TP53
1552867_at,-1.123101794,5.019038527,-6.619328099,2.04E-07,1.52E-05,7.124942259,NA
AFFX-HSAC07/X00351_M_at,-1.122894807,13.12386303,-8.392022422,1.64E-09,5.94E-07,11.79395716,ACTB
210667_s_at,-1.103109046,6.572260966,-9.830152979,4.37E-11,5.46E-08,15.27388991,GATD3A
241879_at,-1.097185635,6.744869821,-4.356997281,0.000132127,0.001831654,0.859403599,LPP
215905_s_at,-1.088468906,6.856082275,-9.800560583,4.69E-11,5.46E-08,15.20527296,SNRNP40
215780_s_at,-1.088386257,8.448594335,-6.231812432,6.11E-07,3.32E-05,6.060230156,NA
222569_at,-1.087843704,6.433563183,-6.4476508,3.31E-07,2.14E-05,6.654699879,UGGT1
219872_at,-1.074085098,6.156369627,-6.0809752,9.39E-07,4.50E-05,5.642925823,GASK1B
222846_at,-1.071484248,8.210881011,-6.777729069,1.31E-07,1.12E-05,7.556523357,RAB8B
216050_at,-1.060290222,6.70999167,-3.139352353,0.003680572,0.023879824,-2.295544744,NA
206788_s_at,-1.059609702,7.538315437,-9.211472764,2.01E-10,1.53E-07,13.81307691,CBFB
220800_s_at,-1.055138728,5.917300716,-7.662227036,1.14E-08,2.22E-06,9.917981247,TMOD3
1563468_at,-1.054990296,5.236311731,-7.798844692,7.91E-09,1.81E-06,10.27447722,NA
1559347_at,-1.054696971,4.862799991,-9.049482342,3.02E-10,2.04E-07,13.42149419,NA
1554464_a_at,-1.052365514,8.212617819,-7.256936745,3.46E-08,4.37E-06,8.846889934,CRTAP
1559156_at,-1.047607749,7.727826437,-7.26014232,3.43E-08,4.36E-06,8.855437714,NA
1552312_a_at,-1.044355603,5.492797427,-8.256894755,2.34E-09,7.66E-07,11.45197794,MFAP3
208698_s_at,-1.039657323,8.860824458,-8.873977915,4.72E-10,2.63E-07,12.99301025,NONO
211255_x_at,-1.038019909,6.435258794,-7.619189701,1.29E-08,2.39E-06,9.805190491,DEDD
242520_s_at,-1.032294586,5.82704034,-5.875611782,1.69E-06,6.90E-05,5.07277195,ARMH1
33646_g_at,-1.03196773,6.296696698,-6.54657317,2.50E-07,1.74E-05,6.925960714,GM2A
1558937_s_at,-1.030052577,5.926698029,-5.114200432,1.51E-05,0.000353351,2.949886719,NA
237376_at,-1.029484388,4.882055831,-6.210733568,6.49E-07,3.45E-05,6.001998919,NA
1553101_a_at,-1.029153821,7.726627894,-7.588261998,1.40E-08,2.48E-06,9.723993946,ALKBH5
1554569_a_at,-1.025656236,7.638197563,-6.923411113,8.70E-08,8.53E-06,7.951336812,CELF2
202817_s_at,-1.025170297,6.93040915,-6.692389057,1.66E-07,1.33E-05,7.324291422,SS18
208248_x_at,-1.024045062,9.924356957,-7.813448628,7.61E-09,1.76E-06,10.31244458,APLP2
222719_s_at,-1.022488053,4.503028337,-7.075773003,5.70E-08,6.25E-06,8.36193789,PDGFC
200947_s_at,-1.019027055,8.191159907,-10.3812216,1.17E-11,2.53E-08,16.52868897,GLUD1
219529_at,-1.017062476,7.780031774,-3.757278082,0.00070631,0.006658191,-0.74173621,CLIC3
233824_at,-1.015878129,6.178071244,-7.101045023,5.31E-08,5.97E-06,8.429805129,NA
226663_at,-1.01386133,7.684755213,-5.297512832,8.91E-06,0.000238584,3.460992239,ANKRD10-IT1
200641_s_at,-1.013665124,10.55520852,-7.841817254,7.05E-09,1.70E-06,10.38611895,YWHAZ
208704_x_at,-1.012614626,9.915545644,-7.675639749,1.10E-08,2.19E-06,9.953085459,APLP2
204426_at,-1.012604618,7.372725398,-5.919212214,1.49E-06,6.31E-05,5.193986686,TMED2
201747_s_at,-1.009942912,5.863772723,-10.28821129,1.46E-11,2.65E-08,16.319953,SAFB
202731_at,-1.006583439,7.950379192,-6.285223164,5.25E-07,2.97E-05,6.207646668,NA
230175_s_at,-1.005792793,4.763685381,-6.846573646,1.08E-07,9.89E-06,7.743360653,DCBLD2
202236_s_at,-1.004060541,6.385431942,-9.457820432,1.09E-10,1.06E-07,14.40135381,SLC16A1
237544_at,-1.003870545,5.843802378,-7.082514875,5.59E-08,6.16E-06,8.380049744,NA
242476_at,-1.003842328,7.974133084,-8.09313769,3.61E-09,1.07E-06,11.03421519,NA
34449_at,-1.00054877,4.648996503,-7.645469286,1.20E-08,2.27E-06,9.874090611,CASP2
217301_x_at,-0.998833593,8.770903021,-9.237090967,1.88E-10,1.52E-07,13.87465963,RBBP4
217749_at,-0.998701044,6.485209373,-10.28916492,1.45E-11,2.65E-08,16.32209942,COPG1
235163_at,-0.991787854,7.06080039,-7.598268794,1.36E-08,2.48E-06,9.750278417,MOB3A
232387_at,-0.990922663,6.455363207,-6.913788269,8.94E-08,8.62E-06,7.925323216,SYNRG
1555326_a_at,-0.986297781,5.190359894,-9.246409386,1.84E-10,1.52E-07,13.89703647,ADAM9
215794_x_at,-0.98529243,7.541543443,-9.30822096,1.58E-10,1.41E-07,14.04515214,GLUD2
222837_s_at,-0.98290876,3.702690077,-6.390747295,3.89E-07,2.42E-05,6.498307714,NAA15
1560112_at,-0.981923035,6.534518844,-6.616558905,2.06E-07,1.53E-05,7.117377049,WDFY2
217818_s_at,-0.97986491,8.343651961,-8.586979854,9.88E-10,4.08E-07,12.28291013,ARPC4
205746_s_at,-0.977455348,5.610946096,-6.806331191,1.21E-07,1.07E-05,7.634202546,ADAM17
238451_at,-0.975401251,5.878620145,-6.922869458,8.72E-08,8.53E-06,7.949872795,MPP7
214975_s_at,-0.967192932,6.090731691,-8.221077974,2.57E-09,8.22E-07,11.36091514,MTMR1
243589_at,-0.965164737,6.51967092,-4.858973956,3.15E-05,0.000618406,2.240310769,KANSL1
204415_at,-0.963809157,7.602703739,-4.143192945,0.000241636,0.0029203,0.280827009,IFI6
228188_at,-0.961937163,7.490846946,-4.554418632,7.53E-05,0.001193288,1.39938058,FOSL2
210543_s_at,-0.958537783,6.972126432,-9.089284961,2.73E-10,1.94E-07,13.51805822,PRKDC
216607_s_at,-0.955416885,6.506787099,-7.081544723,5.61E-08,6.16E-06,8.377443758,NA
235220_at,-0.953607718,6.016670984,-5.792585722,2.14E-06,8.16E-05,4.841740162,YIPF4
213548_s_at,-0.947190573,7.410430357,-7.695572106,1.05E-08,2.13E-06,10.00521133,CDV3
203109_at,-0.943135142,6.942937668,-6.74833867,1.42E-07,1.20E-05,7.476621801,UBE2M
210371_s_at,-0.942671716,8.853603831,-8.663888768,8.10E-10,3.54E-07,12.4743391,RBBP4
205446_s_at,-0.93826628,6.540214481,-9.090009978,2.73E-10,1.94E-07,13.51981507,ATF2
235036_at,-0.937830127,5.612141541,-7.590371434,1.39E-08,2.48E-06,9.729535751,LIX1L
240499_at,-0.937612685,7.625679342,-4.738067834,4.45E-05,0.000804345,1.905525131,NA
212800_at,-0.933667729,5.904682143,-9.138616552,2.41E-10,1.78E-07,13.63742547,STX6
213341_at,-0.931340001,6.246938029,-6.576675025,2.30E-07,1.64E-05,7.008343285,FEM1C
1565703_at,-0.930233281,6.143883913,-5.113227209,1.52E-05,0.00035404,2.947175575,SMAD4
214040_s_at,-0.929666257,5.995287078,-6.949348585,8.10E-08,8.07E-06,8.021406899,GSN
210470_x_at,-0.928307224,9.226628262,-9.073159816,2.85E-10,1.95E-07,13.47896477,NONO
232600_at,-0.926905366,3.807362314,-4.89224771,2.86E-05,0.00057461,2.332622499,NA
202638_s_at,-0.92606585,5.87885483,-6.558662881,2.42E-07,1.69E-05,6.959057028,ICAM1
201048_x_at,-0.924849436,6.328140835,-6.690570759,1.67E-07,1.33E-05,7.319335999,NA
1554406_a_at,-0.924760534,8.872425449,-7.676136134,1.10E-08,2.19E-06,9.954384181,CLEC7A
1555154_a_at,-0.920269954,6.695827651,-7.440455154,2.09E-08,3.13E-06,9.334328156,QKI
233300_at,-0.919275761,8.151965663,-7.833171556,7.22E-09,1.72E-06,10.36367675,NA
221618_s_at,-0.916286795,5.552717858,-4.878850865,2.97E-05,0.000591947,2.295447107,TAF9B
1554948_at,-0.914993923,6.187714664,-6.603074457,2.14E-07,1.56E-05,7.080529031,NA
212862_at,-0.914526661,6.953106467,-7.504111692,1.76E-08,2.86E-06,9.50247256,CDS2
214971_s_at,-0.913056097,6.705456659,-5.68129757,2.95E-06,0.000102408,4.531705355,ST6GAL1
204427_s_at,-0.911856705,8.038286193,-5.803920289,2.08E-06,7.98E-05,4.873295095,TMED2
215159_s_at,-0.9107089,6.581304412,-7.008378455,6.87E-08,7.17E-06,8.180616726,NADK
235011_at,-0.91060344,4.745590273,-7.495075653,1.80E-08,2.88E-06,9.478634272,MAP3K2
202480_s_at,-0.909501645,6.210307551,-7.37056509,2.53E-08,3.57E-06,9.149160322,DEDD
215663_at,-0.909498143,3.294744883,-9.213530828,2.00E-10,1.53E-07,13.8180277,MBNL1
212671_s_at,-0.908270724,10.43058964,-3.447441557,0.001636032,0.01284095,-1.536072379,NA
202730_s_at,-0.906555469,7.372647362,-5.365237554,7.33E-06,0.000205447,3.649964378,NA
241929_at,-0.906294138,8.802122662,-4.862962453,3.11E-05,0.000613565,2.251372382,NA
235868_at,-0.905373969,5.199603584,-4.899737883,2.80E-05,0.000564653,2.35341204,OGA
201237_at,-0.904689131,9.003785114,-9.52915856,9.12E-11,9.59E-08,14.57007733,CAPZA2
1559502_s_at,-0.903811612,8.426772171,-6.72641498,1.51E-07,1.25E-05,7.416966324,LRRC25
211825_s_at,-0.901352427,8.547158989,-6.542933431,2.53E-07,1.75E-05,6.915994289,FLI1
221428_s_at,-0.899911888,6.949759419,-6.377015411,4.05E-07,2.49E-05,6.460530197,TBL1XR1
206184_at,-0.899893088,6.115402698,-8.006848676,4.53E-09,1.25E-06,10.81263493,CRKL
217211_at,-0.898794782,8.813739052,-7.293298657,3.13E-08,4.07E-06,8.943781206,NA
202397_at,-0.897120404,7.550866019,-7.192641547,4.13E-08,4.95E-06,8.675198373,NUTF2
201011_at,-0.896500856,8.862431886,-10.09151209,2.33E-11,3.85E-08,15.8744421,RPN1
200634_at,-0.89615955,11.73639149,-7.054394741,6.05E-08,6.56E-06,8.304473412,PFN1
211676_s_at,-0.896013299,9.459639003,-8.056926199,3.97E-09,1.15E-06,10.94134893,IFNGR1
238883_at,-0.895588059,8.391170534,-6.579844902,2.28E-07,1.63E-05,7.017014076,NA
204560_at,-0.894343372,7.526653041,-6.04354172,1.05E-06,4.86E-05,5.539156359,FKBP5
214845_s_at,-0.89244979,6.452528337,-6.468444503,3.12E-07,2.04E-05,6.711785486,CALU
203676_at,-0.892148114,8.396860186,-7.580879567,1.43E-08,2.51E-06,9.704594863,GNS
225187_at,-0.889158214,6.439022606,-5.11248129,1.52E-05,0.000354328,2.94509766,CCAR2
1569311_at,-0.888415295,5.22285789,-5.642821466,3.30E-06,0.000111762,4.424438801,NA
207564_x_at,-0.887168676,8.971107727,-6.669464526,1.77E-07,1.38E-05,7.261792914,OGT
238438_at,-0.885790291,6.172779392,-4.546566718,7.70E-05,0.001213281,1.377815561,CNOT6L
1555565_s_at,-0.884471039,7.052570109,-7.04237669,6.25E-08,6.69E-06,8.272147546,TAPBP
211140_s_at,-0.883966914,5.582389537,-7.946797889,5.32E-09,1.40E-06,10.65784933,CASP2
216094_at,-0.883537707,6.026185539,-6.13592804,8.03E-07,4.02E-05,5.795117547,NA
222409_at,-0.880597916,8.878890819,-7.432839701,2.13E-08,3.15E-06,9.314179849,CORO1C
208852_s_at,-0.880121741,8.502962119,-7.787760046,8.15E-09,1.82E-06,10.24564104,CANX
243673_at,-0.879766615,5.682506343,-4.497835472,8.85E-05,0.001347956,1.244131285,NA
1555831_s_at,-0.878985021,6.389422186,-7.656266539,1.16E-08,2.24E-06,9.902373989,LRRC41
203184_at,-0.878199897,6.374641885,-6.926282553,8.64E-08,8.49E-06,7.959097397,FBN2
209754_s_at,-0.874641254,7.253883888,-8.043664436,4.11E-09,1.16E-06,10.90729471,TMPO
234574_at,-0.87434116,6.199240322,-7.004184363,6.95E-08,7.23E-06,8.16931683,NA
200638_s_at,-0.874299014,11.32408686,-6.918111149,8.83E-08,8.53E-06,7.937010496,YWHAZ
222555_s_at,-0.873785551,7.352939416,-7.840792936,7.07E-09,1.70E-06,10.38346056,MRPL44
1554411_at,-0.873240414,3.753878579,-7.359532277,2.61E-08,3.64E-06,9.119877051,CTNNB1
232908_at,-0.872229019,5.95975016,-9.805936327,4.63E-11,5.46E-08,15.21774727,ATAD2B
214085_x_at,-0.870596992,10.62149235,-6.165549057,7.38E-07,3.81E-05,5.877078691,GLIPR1
206100_at,-0.870580071,5.886823069,-7.185396358,4.21E-08,5.00E-06,8.655821896,CPM
242384_at,-0.869905776,5.566328202,-7.896431227,6.09E-09,1.55E-06,10.52766017,NA
239151_at,-0.869204734,7.099641552,-4.987078091,2.18E-05,0.000468055,2.596065363,BMS1P1
237803_x_at,-0.867894556,5.948034108,-6.088452171,9.19E-07,4.42E-05,5.663643471,NA
210145_at,-0.865923697,5.850803666,-5.462189571,5.54E-06,0.000165513,3.920526071,PLA2G4A
212797_at,-0.864860148,4.631107714,-6.227239204,6.19E-07,3.34E-05,6.047598897,SORT1
203189_s_at,-0.863516634,6.952474888,-7.336229669,2.78E-08,3.79E-06,9.057980441,NA
238699_s_at,-0.863256136,4.290838034,-7.149606574,4.65E-08,5.43E-06,8.560020183,CASK
215784_at,-0.862911113,4.051984063,-5.347877693,7.71E-06,0.000213467,3.601521463,CD1E
214877_at,-0.862835157,5.701795649,-4.542399472,7.80E-05,0.001223214,1.36637311,CDKAL1
241681_at,-0.86278153,10.33339909,-5.999260186,1.19E-06,5.32E-05,5.416307126,NA
218848_at,-0.86273217,5.854791627,-9.493388434,9.96E-11,1.01E-07,14.48556822,THOC6
217140_s_at,-0.862605286,8.214663045,-8.96170872,3.78E-10,2.35E-07,13.20774885,VDAC1
243745_at,-0.860876835,6.644410295,-8.467756425,1.35E-09,5.18E-07,11.98452483,NA
232365_at,-0.860641376,4.427588864,-4.965141391,2.32E-05,0.000491974,2.535081329,SIAH1
239314_at,-0.860520129,5.508755016,-7.454377846,2.01E-08,3.06E-06,9.371145666,NHLRC3
211797_s_at,-0.859879728,6.946434141,-7.638841513,1.22E-08,2.30E-06,9.856721958,NFYC
203751_x_at,-0.859330402,6.128420606,-4.601864767,6.58E-05,0.001076345,1.529829825,JUND
214647_s_at,-0.857123073,4.23056687,-6.241007027,5.95E-07,3.25E-05,6.08562144,HFE
224368_s_at,-0.856301768,6.881673829,-6.882730797,9.75E-08,9.13E-06,7.841301074,NDRG3
231721_at,-0.854476037,4.15607232,-3.746100993,0.000728307,0.006826704,-0.770849125,JAM3
1553962_s_at,-0.84859895,6.105512924,-5.348307594,7.70E-06,0.000213419,3.602721082,RHOB
1552660_a_at,-0.847845046,6.127695305,-7.534567423,1.62E-08,2.74E-06,9.582745781,C5orf22
212182_at,-0.846939949,4.111715525,-5.508843328,4.85E-06,0.000148658,4.050713067,NUDT4
242059_at,-0.846493169,6.675631066,-6.251360322,5.78E-07,3.19E-05,6.114205777,NA
215204_at,-0.845683113,7.070772501,-6.389077721,3.91E-07,2.42E-05,6.493715344,NA
242126_at,-0.842364555,4.1690142,-7.664118521,1.14E-08,2.22E-06,9.922933073,NA
242598_at,-0.842161503,6.561925728,-5.786664329,2.18E-06,8.25E-05,4.825253519,NA
223674_s_at,-0.842054473,5.615305055,-4.698536093,4.99E-05,0.000871265,1.796310501,CDC42SE1
1557512_at,-0.842043457,6.317050232,-3.809876082,0.000611188,0.00598008,-0.604317023,NA
221140_s_at,-0.839837053,5.579935498,-8.927944076,4.11E-10,2.46E-07,13.12523286,GPR132
223144_s_at,-0.838968245,8.049103948,-7.271581721,3.32E-08,4.26E-06,8.885931702,AKIRIN2
208819_at,-0.838719499,9.900435947,-7.280519455,3.24E-08,4.20E-06,8.90974657,RAB8A
225095_at,-0.837777123,7.845656617,-7.850134356,6.89E-09,1.67E-06,10.40769907,SPTLC2
216243_s_at,-0.836868791,6.240826124,-6.363181476,4.21E-07,2.56E-05,6.422457632,IL1RN
225731_at,-0.834211139,7.001627719,-5.606794011,3.66E-06,0.000120823,4.32397021,ANKRD50
242029_at,-0.83329201,6.732950242,-6.50663703,2.80E-07,1.89E-05,6.816545959,NA
201742_x_at,-0.832395471,9.311011355,-7.203467622,4.01E-08,4.84E-06,8.704140584,SRSF1
217534_at,-0.832054726,7.000377678,-4.725819118,4.61E-05,0.000824447,1.871671433,FAM49B
211810_s_at,-0.831524686,5.986724405,-5.506840789,4.88E-06,0.000149183,4.045125319,GALC
1563509_at,-0.829558429,7.632924526,-6.642706477,1.91E-07,1.46E-05,7.188783014,NA
233167_at,-0.828928551,5.930098753,-5.197578589,1.19E-05,0.000295473,3.182262485,SELENOO
210186_s_at,-0.826998009,8.457644634,-4.625174273,6.16E-05,0.001023498,1.594002162,FKBP1A
235150_at,-0.826774627,5.369800388,-5.554282001,4.25E-06,0.000135277,4.17749112,SESN3
226885_at,-0.826720059,5.064244449,-7.420247911,2.21E-08,3.25E-06,9.280850394,RNF217
1556314_a_at,-0.826324793,5.207266385,-6.69684388,1.64E-07,1.32E-05,7.336430907,NA
231241_at,-0.826251361,7.234480942,-4.639942644,5.90E-05,0.000989291,1.634687996,NA
210042_s_at,-0.824666603,7.719354818,-7.190257835,4.15E-08,4.96E-06,8.66882404,CTSZ
238513_at,-0.824531624,6.653207679,-5.349931894,7.66E-06,0.000212746,3.607253631,PRRG4
210379_s_at,-0.824178407,5.310244086,-2.970996242,0.005662141,0.032763182,-2.695303695,TLK1
242576_x_at,-0.823893449,6.893366283,-6.974439098,7.55E-08,7.70E-06,8.089123001,NA
234042_at,-0.822760099,6.277718426,-5.828416843,1.93E-06,7.62E-05,4.941476886,NA
221563_at,-0.821992406,6.527828917,-5.867081044,1.73E-06,7.01E-05,5.049046145,DUSP10
204858_s_at,-0.819988623,8.573403991,-4.908601865,2.73E-05,0.000553912,2.37801903,TYMP
220368_s_at,-0.819665928,8.335360159,-10.74523638,5.00E-12,1.61E-08,17.33379776,PPP4R3A
242695_at,-0.81905803,8.059261236,-7.380859561,2.46E-08,3.53E-06,9.176470972,NA
225644_at,-0.818812539,7.743810497,-8.780451059,6.00E-10,2.93E-07,12.76288054,CCDC117
1553176_at,-0.815643604,6.815690433,-3.337276016,0.002193029,0.016075055,-1.81147027,SH2D1B
210317_s_at,-0.814203396,6.691913598,-3.694807483,0.000838096,0.007621908,-0.904041668,YWHAE
239577_at,-0.813994121,5.593914641,-6.920527049,8.78E-08,8.53E-06,7.943541261,NA
210773_s_at,-0.813912718,7.350929595,-7.25730024,3.45E-08,4.37E-06,8.847859266,FPR2
225847_at,-0.811530905,5.525159774,-6.709815995,1.58E-07,1.29E-05,7.371769785,NCEH1
