,logFC,AveExpr,t,P.Value,adj.P.Val,B,symbol
46323_at,-0.157380407,8.175898405,-3.042228699,0.004724267,0.028648993,-2.527593077,CANT1
211765_x_at,-0.157322341,12.587519,-3.518132125,0.001353374,0.011068918,-1.357298672,PPIA
211978_x_at,-0.157122033,12.56727589,-3.800821432,0.000626622,0.006098734,-0.628021809,PPIA
229624_at,-0.156908577,6.798390087,-3.331942201,0.002224176,0.016255424,-1.824700513,OPA3
226280_at,-0.156595307,8.680457058,-2.969924452,0.005677514,0.032806813,-2.697810569,BNIP2
218410_s_at,-0.156579716,5.574835278,-2.911793437,0.006572926,0.036529245,-2.833022351,PGP
1560683_at,-0.1565043,2.538625676,-3.273772348,0.002592627,0.01830237,-1.968342104,NBEAP1
1567410_at,-0.156469483,6.136627648,-2.902241206,0.006732235,0.037195326,-2.855097083,ZNF135
234950_s_at,-0.156320203,8.301741932,-3.121623853,0.003853051,0.02468544,-2.33818389,COP1
203614_at,-0.156263156,7.910291133,-3.036288176,0.004796473,0.028990401,-2.541661335,NA
216218_s_at,-0.15624877,8.259857562,-3.291173924,0.002476676,0.017634098,-1.925496836,PLCL2
218192_at,-0.156201382,7.927498833,-3.021958826,0.004974973,0.029795889,-2.575535243,IP6K2
234302_s_at,-0.155500301,8.259908239,-2.902111184,0.006734428,0.037202958,-2.855397273,ALKBH5
218653_at,-0.155425783,6.874655649,-3.176766898,0.003340405,0.022217064,-2.20515615,SLC25A15
209611_s_at,-0.154966678,6.072813158,-2.979706383,0.005538661,0.032276519,-2.674912584,SLC1A4
223244_s_at,-0.154385794,10.54143799,-3.106806941,0.004003079,0.025378982,-2.373724945,NDUFA12
200683_s_at,-0.154375194,9.296898143,-2.999370553,0.005269192,0.031074647,-2.628757237,UBE2L3
201956_s_at,-0.154355833,8.812887009,-3.543170201,0.001265067,0.010510183,-1.293611173,GNPAT
206948_at,-0.154290163,4.789277651,-3.254567734,0.002726625,0.019035231,-2.015500443,NEU3
201420_s_at,-0.15417293,7.549838157,-2.944255199,0.006057692,0.034446624,-2.757700423,WDR77
1566840_at,-0.153768045,3.196809496,-3.117745739,0.003891793,0.024852112,-2.347494679,NA
1565861_at,-0.153462153,3.256528105,-3.047033213,0.004666625,0.028385929,-2.516204372,NA
211971_s_at,-0.153185713,9.153911533,-3.068305512,0.004419333,0.027324104,-2.465665623,LRPPRC
208091_s_at,-0.153065115,9.703463456,-3.045057273,0.00469025,0.028477448,-2.520889335,VOPP1
226314_at,-0.152963603,7.433394026,-2.96814223,0.005703164,0.032916762,-2.701978013,CHST14
227020_at,-0.152819462,8.376567504,-3.004463904,0.005201445,0.030761385,-2.616775279,YPEL2
227079_at,-0.152607821,7.012459116,-3.221741932,0.002971148,0.020300861,-2.095795122,DHX8
236147_at,-0.15244247,5.614194569,-2.943615236,0.00606747,0.034483352,-2.759189855,NA
211065_x_at,-0.152428464,7.741496135,-3.062523484,0.00448529,0.027575982,-2.479420985,PFKL
202390_s_at,-0.152417135,7.056700821,-2.988410912,0.005417808,0.031752457,-2.654501938,HTT
226255_at,-0.152382599,8.940634689,-2.929607606,0.006285274,0.035416607,-2.791745575,ZBTB33
240230_s_at,-0.151791856,4.321415468,-3.0059342,0.005182043,0.030683147,-2.6133144,AGAP9
210076_x_at,-0.151769786,9.055784078,-3.277959754,0.002564259,0.018134891,-1.958041977,SERBP1
212317_at,-0.151349801,7.009042633,-3.108611524,0.003984514,0.025281803,-2.369400999,TNPO3
220597_s_at,-0.151185869,6.983656019,-3.278846147,0.002558292,0.01810416,-1.955860832,ARL6IP4
208898_at,-0.151101714,8.675560618,-3.13033369,0.003767374,0.02429023,-2.31725116,ATP6V1D
200718_s_at,-0.151010238,11.87452241,-3.020772618,0.004990029,0.029859891,-2.578335523,SKP1
200880_at,-0.150899712,9.326708394,-2.992625452,0.005360194,0.031492438,-2.64460787,DNAJA1
217938_s_at,-0.150726784,9.957653347,-2.987032455,0.005436779,0.031826113,-2.657736357,KCMF1
220419_s_at,-0.150601667,9.122520854,-3.37730459,0.001972289,0.01480232,-1.7118715,USP25
207220_at,-0.150383694,2.985569925,-2.954817789,0.00589843,0.033789331,-2.733091332,ART4
201049_s_at,-0.150374473,14.04608592,-3.506662399,0.001395789,0.011332755,-1.38641014,RPS18
220731_s_at,-0.15030263,8.734717329,-3.005518566,0.00518752,0.030692315,-2.614292839,NECAP2
241404_at,-0.15029016,2.847969685,-2.955411128,0.005889602,0.033757628,-2.731707499,NA
1557963_at,-0.15028399,3.996565843,-3.029954805,0.004874606,0.029326482,-2.556643727,CDC42BPB
202029_x_at,-0.14982725,13.12109376,-3.181992475,0.003295352,0.021970375,-2.192488959,RPL38
238390_at,-0.149539687,2.785173072,-2.919187877,0.00645205,0.036053276,-2.815906064,NA
213414_s_at,-0.14876603,13.51931125,-3.405071101,0.001831893,0.01398084,-1.642467001,RPS19
209814_at,-0.148718562,9.008597537,-3.060249846,0.00451148,0.027705851,-2.484826182,ZNF330
213720_s_at,-0.148258319,7.938088006,-3.123840055,0.003831076,0.024590759,-2.332860438,SMARCA4
218423_x_at,-0.148254666,7.984390079,-2.989030211,0.005409306,0.031712824,-2.653048548,VPS54
202453_s_at,-0.147841136,6.918666541,-2.991957563,0.005369286,0.031532298,-2.646176314,GTF2H1
213384_x_at,-0.147663873,6.058548472,-3.335079315,0.002205805,0.016147063,-1.816920256,PLCB3
